inp	gt
བརྗུ	བརྗུ
ཁུལ	ཁུལ
ཏེམ	ཏེམ
བརྒྱེ	བརྒྱེ
ཨལ	ཨལ
བཟླི	བཟླི
རྙིང	རྙིང
དྲོ	དྲོ
ཐན	ཐན
ལྔུའ	ལྔུའ
རྩི	རྩི
ལྗུབ	ལྗུབ
བཀ	བཀ
རྐམ	རྐམ
ཁུང	ཁུང
དཔ	དཔ
ཀབ	ཀབ
ཡུམ	ཡུམ
ཤོང	ཤོང
ལྦུམ	ལྦུམ
མཁྱ	མཁྱ
ཉིན	ཉིན
རྗས	རྗས
ཤིའ	ཤིའ
སེར	སེར
ལྗེན	ལྗེན
ཀོང	ཀོང
ལྷུའ	ལྷུའ
ཤེད	ཤེད
མཚ	མཚ
ཇེལ	ཇེལ
བུལ	བུལ
ཟེང	ཟེང
ཅེང	ཅེང
ཝུས	ཝུས
ཐག	ཐག
ལྔན	ལྔན
པེད	པེད
བརྔོ	བརྔོ
ཅོང	ཅོང
དྭ	དྭ
ངུས	ངུས
བརྔུ	བརྔུ
རྐ	རྐ
གཙེ	གཙེ
འཕྲི	འཕྲི
རྫོབ	རྫོབ
དལ	དལ
ཆེན	ཆེན
རྔེར	རྔེར
ལྔབ	ལྔབ
བཀྲུ	བཀྲུ
པིར	པིར
ཨིམ	ཨིམ
ཁིར	ཁིར
ཀག	ཀག
རྣུར	རྣུར
རོང	རོང
མདོ	མདོ
ཨེམ	ཨེམ
ཅིན	ཅིན
གཏི	གཏི
པུབ	པུབ
རྡུར	རྡུར
ལྒས	ལྒས
མཆོ	མཆོ
རྟོལ	རྟོལ
རྒོར	རྒོར
ཁོད	ཁོད
མཁེ	མཁེ
ཆེར	ཆེར
ཁིན	ཁིན
མགྱི	མགྱི
སྲེ	སྲེ
ལྤང	ལྤང
མགྱུ	མགྱུ
ལྒུ	ལྒུ
མནི	མནི
གུད	གུད
ཚབ	ཚབ
ལྒིབ	ལྒིབ
དམྱོ	དམྱོ
འབྲེ	འབྲེ
བཟླེ	བཟླེ
ཡིལ	ཡིལ
ནང	ནང
ལྔུབ	ལྔུབ
རན	རན
རྟེད	རྟེད
ཕྲ	ཕྲ
སྒྲོ	སྒྲོ
བིར	བིར
དུབ	དུབ
བསྟུ	བསྟུ
སྨུ	སྨུ
གསུ	གསུ
ཨོག	ཨོག
ནིམ	ནིམ
ཀོད	ཀོད
ལྦིས	ལྦིས
རྗུས	རྗུས
རྨལ	རྨལ
རྐིར	རྐིར
དམི	དམི
བརྩེ	བརྩེ
ལྔུལ	ལྔུལ
རྣུལ	རྣུལ
ནག	ནག
འཁྲེ	འཁྲེ
ཀིབ	ཀིབ
སྩུ	སྩུ
གལ	གལ
བརྔ	བརྔ
རྡིམ	རྡིམ
གིས	གིས
བསྐྱ	བསྐྱ
ནུག	ནུག
ཐལ	ཐལ
བལྟི	བལྟི
བརྒ	བརྒ
དངོ	དངོ
དི	དི
ཤིས	ཤིས
ལྟའ	ལྟའ
ལྒེམ	ལྒེམ
བགུ	བགུ
རྙོག	རྙོག
འབུ	འབུ
