inp	gt
"693	དབེ"	"693	དབེ"
"2885	རྦུས"	"2885	རྦུས"
"2577	རྨང"	"2577	རྨང"
"3380	ལྦུབ"	"3380	ལྦུབ"
"1480	ཅིང"	"1480	ཅིང"
"996	བསྒྱེ"	"996	བསྒྱེ"
"2723	རྔིར"	"2723	རྔིར"
"2085	ཐིའ"	"2085	ཐིའ"
"1419	ངེག"	"1419	ངེག"
"2806	རྒུན"	"2806	རྒུན"
"2774	རྟུང"	"2774	རྟུང"
"11	ན"	"11	ན"
"1812	ཇོན"	"1812	ཇོན"
"476	སྤོ"	"476	སྤོ"
"1707	ཟོད"	"1707	ཟོད"
"1190	བབ"	"1190	བབ"
"1950	རོབ"	"1950	རོབ"
"191	བསྐ"	"191	བསྐ"
"1379	ཡིག"	"1379	ཡིག"
"2714	རྟིའ"	"2714	རྟིའ"
"2309	ཡོར"	"2309	ཡོར"
"3388	ལྡུམ"	"3388	ལྡུམ"
"537	ཕྲེ"	"537	ཕྲེ"
"508	ཀྲི"	"508	ཀྲི"
"319	ཀོ"	"319	ཀོ"
"2171	ཆོའ"	"2171	ཆོའ"
"1054	འདྲོ"	"1054	འདྲོ"
"1152	ཇན"	"1152	ཇན"
"816	འགོ"	"816	འགོ"
"3456	ལྗེད"	"3456	ལྗེད"
"3397	ལྟུའ"	"3397	ལྟུའ"
"1827	ཟོན"	"1827	ཟོན"
"2756	རྫིས"	"2756	རྫིས"
"2997	རྐེས"	"2997	རྐེས"
"2368	འུལ"	"2368	འུལ"
"477	སྦོ"	"477	སྦོ"
"2422	ཙོལ"	"2422	ཙོལ"
"307	ཛེ"	"307	ཛེ"
"851	དགྲེ"	"851	དགྲེ"
"1449	ངོག"	"1449	ངོག"
"3486	ལྗེམ"	"3486	ལྗེམ"
"2359	ཕུལ"	"2359	ཕུལ"
"935	བསྣེ"	"935	བསྣེ"
"3409	ལྤུར"	"3409	ལྤུར"
"2132	ལུའ"	"2132	ལུའ"
"691	དངེ"	"691	དངེ"
"2718	རྨིའ"	"2718	རྨིའ"
"2086	དིའ"	"2086	དིའ"
"1763	ཚུན"	"1763	ཚུན"
"2573	རྨབ"	"2573	རྨབ"
"2438	གིས"	"2438	གིས"
"3129	རྫོས"	"3129	རྫོས"
"2506	དེས"	"2506	དེས"
"2545	ཝོས"	"2545	ཝོས"
"1840	ཅིབ"	"1840	ཅིབ"
"2662	རྒིད"	"2662	རྒིད"
"3072	རྔོམ"	"3072	རྔོམ"
"767	མཇེ"	"767	མཇེ"
"257	ཧི"	"257	ཧི"
"891	བརྡེ"	"891	བརྡེ"
"1011	མཁྲུ"	"1011	མཁྲུ"
"2180	བོའ"	"2180	བོའ"
"942	བསྡོ"	"942	བསྡོ"
"1518	པུང"	"1518	པུང"
"636	གདི"	"636	གདི"
"3004	རྣེས"	"3004	རྣེས"
"2051	ཆོམ"	"2051	ཆོམ"
"2990	རྟེལ"	"2990	རྟེལ"
"1186	དབ"	"1186	དབ"
"298	ཐེ"	"298	ཐེ"
"499	བྱེ"	"499	བྱེ"
"551	ཧྲོ"	"551	ཧྲོ"
"2453	ཚིས"	"2453	ཚིས"
"1630	ཅུད"	"1630	ཅུད"
"209	བརྐྱ"	"209	བརྐྱ"
"2394	ཛེལ"	"2394	ཛེལ"
"3358	ལྡུད"	"3358	ལྡུད"
"1223	ཚམ"	"1223	ཚམ"
"1265	ཨའ"	"1265	ཨའ"
"2419	ཕོལ"	"2419	ཕོལ"
"2006	ཞུམ"	"2006	ཞུམ"
"2154	ཚེལ"	"2154	ཚེལ"
"784	མཛོ"	"784	མཛོ"
"1063	ཇག"	"1063	ཇག"
"2965	རྙེའ"	"2965	རྙེའ"
"1399	ཕུག"	"1399	ཕུག"
"3219	ལྤལ"	"3219	ལྤལ"
"1272	ཇར"	"1272	ཇར"
"2710	རྒིའ"	"2710	རྒིའ"
"1145	ཨད"	"1145	ཨད"
"1350	རས"	"1350	རས"
"2536	དོས"	"2536	དོས"
"2479	ཕུས"	"2479	ཕུས"
"560	བླུ"	"560	བླུ"
"1888	འུབ"	"1888	འུབ"
"994	བརྒྱེ"	"994	བརྒྱེ"
"2054	ཏོམ"	"2054	ཏོམ"
"210	བརྒྱ"	"210	བརྒྱ"
"1318	འལ"	"1318	འལ"
"3365	ལྕུན"	"3365	ལྕུན"
"2611	རྩར"	"2611	རྩར"
"2307	ཟོར"	"2307	ཟོར"
"1283	ཚར་"	"1283	ཚར་"
"1173	སན"	"1173	སན"
"2334	ཛིལ"	"2334	ཛིལ"
"2347	ཁུལ"	"2347	ཁུལ"
"1963	ཉིམ"	"1963	ཉིམ"
"1494	ཛིང"	"1494	ཛིང"
"3468	ལྡེན"	"3468	ལྡེན"
"3143	ལྕང"	"3143	ལྕང"
"645	གཉུ"	"645	གཉུ"
"879	བརྙུ"	"879	བརྙུ"
"3309	ལྤིར"	"3309	ལྤིར"
"2667	རྡིད"	"2667	རྡིད"
"358	རྨི"	"358	རྨི"
"2856	རྗུར"	"2856	རྗུར"
"2190	རོའ"	"2190	རོའ"
"2594	རྟའ"	"2594	རྟའ"
"2356	དུལ"	"2356	དུལ"
"73	ཏྲ"	"73	ཏྲ"
"2823	རྡུབ"	"2823	རྡུབ"
"2702	རྟིམ"	"2702	རྟིམ"
"2915	རྔེད"	"2915	རྔེད"
"2589	རྨད"	"2589	རྨད"
"753	མགུ"	"753	མགུ"
"3038	རྟོད"	"3038	རྟོད"
"2577	རྒམ"	"2577	རྒམ"
"2670	རྨིད"	"2670	རྨིད"
"3408	ལྡུར"	"3408	ལྡུར"
"51	ལྷ"	"51	ལྷ"
"1386	ཀུག"	"1386	ཀུག"
"2447	ནིས"	"2447	ནིས"
"3005	རྦེས"	"3005	རྦེས"
"1341	མས"	"1341	མས"
"585	རྐྱོ"	"585	རྐྱོ"
"1800	རེན"	"1800	རེན"
"2111	ཆུའ"	"2111	ཆུའ"
"1118	ཁད"	"1118	ཁད"
"356	རྣི"	"356	རྣི"
"1617	ཟིད"	"1617	ཟིད"
"1460	བོག"	"1460	བོག"
"1695	ཐོད"	"1695	ཐོད"
"1221	མམ"	"1221	མམ"
"2048	གོམ"	"2048	གོམ"
"1552	ཙེང"	"1552	ཙེང"
"3429	ལྤུས"	"3429	ལྤུས"
"3163	ལྕན"	"3163	ལྕན"
"571	གློ"	"571	གློ"
"2650	རྒིང"	"2650	རྒིང"
"3318	ལྡིལ"	"3318	ལྡིལ"
"2621	རྦལ"	"2621	རྦལ"
"1035	འགྲུ"	"1035	འགྲུ"
"1939	ཕོབ"	"1939	ཕོབ"
"1542	ཇེང"	"1542	ཇེང"
"2694	རྨིབ"	"2694	རྨིབ"
"640	གཟི"	"640	གཟི"
"2803	རྩུད"	"2803	རྩུད"
"818	འཇོ"	"818	འཇོ"
"1074	ཚག"	"1074	ཚག"
"2026	དེམ"	"2026	དེམ"
